q0 (),q1,q2,q3
9.976124885750179416e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.906028264610405976e-02
9.975579428714895780e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.984375859016966892e-02
9.975027816825594584e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.062719402295571103e-02
9.974470050545899413e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.141058820391309181e-02
9.973906130332715891e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.219394041825565045e-02
9.973336056637096547e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.297724997438606587e-02
9.972759829905042395e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.376051620157930699e-02
9.972177450578240121e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.454373844789784209e-02
9.971588919094741543e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.532691607831534797e-02
9.970994235889585333e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.611004847302819953e-02
9.970393401395368782e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.689313502593585203e-02
9.969786416042780708e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.767617514327318506e-02
9.969173280261076631e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.845916824237983422e-02
9.968553994478528413e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.924211375059250773e-02
9.967928559122828380e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.002501110424824204e-02
9.967296974621464578e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.080785974778728620e-02
9.966659241402062719e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.159065913294585859e-02
9.966015359892701486e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.237340871802958930e-02
9.965365330522195642e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.315610796725975140e-02
9.964709153720364698e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.393875635018484271e-02
9.964046829918272730e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.472135334115113436e-02
9.963378359548447083e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.550389841882617692e-02
9.962703743045082661e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.628639106576990736e-02
9.962022980844226216e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.706883076804894372e-02
9.961336073383945111e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.785121701488918244e-02
9.960643021104483852e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.863354929836339546e-02
9.959943824448400651e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.941582711311002463e-02
9.959238483860703983e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.019804995608017573e-02
9.958526999788961387e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.098021732630985625e-02
9.957809372683418259e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.176232872471516699e-02
9.957085602997085561e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.254438365390792176e-02
9.956355691185836410e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.332638161802976617e-02
9.955619637708486014e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.410832212260290819e-02
9.954877443026867168e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.489020467439580886e-02
9.954129107605896865e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.567202878130236232e-02
9.953374631913641801e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.645379395223323271e-02
9.952614016421370557e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.723549969701796025e-02
9.951847261603610217e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.801714552631697608e-02
9.951074367938190779e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.879873095154249885e-02
9.950295335906289562e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.958025548478730005e-02
9.949510165992465627e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.003617186387606025e-01
9.948718858684705291e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.011431199267305153e-01
9.947921414474444335e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.019244588624721726e-01
9.947117833856603530e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.027057349602211456e-01
9.946308117329614173e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.034869477346315042e-01
9.945492265395441400e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.042680967007381526e-01
9.944670278559609722e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.050491813739228703e-01
9.943842157331218568e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.058302012698839334e-01
9.943007902222964489e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.066111559046086232e-01
9.942167513751156704e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.073920447943486761e-01
9.941320992435731529e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.081728674555981484e-01
9.940468338800266812e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.089536234050734603e-01
9.939609553371996364e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.097343121596955906e-01
9.938744636681815514e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.105149332365740061e-01
9.937873589264299978e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.112954861529922568e-01
9.936996411657709194e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.120759704263950274e-01
9.936113104403994090e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.128563855743765221e-01
9.935223668048808188e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.136367311146700421e-01
9.934328103141515376e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.144170065651385904e-01
9.933426410235192128e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.151972114437665451e-01
9.932518589886635274e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.159773452686521378e-01
9.931604642656366444e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.167574075580006254e-01
9.930684569108639836e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.175373978301184202e-01
9.929758369811441110e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.183173156034074969e-01
9.928826045336495154e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.190971603963607295e-01
9.927887596259269420e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.198769317275574925e-01
9.926943023158972812e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.206566291156597887e-01
9.925992326618564565e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.214362520794088768e-01
9.925035507224750919e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.222158001376221631e-01
9.924072565567992887e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.229952728091904535e-01
9.923103502242501817e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.237746696130755664e-01
9.922128317846246048e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.245539900683081680e-01
9.921147012980952029e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.253332336939858571e-01
9.920159588252104310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.261124000092714581e-01
9.919166044268944438e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.268914885333915499e-01
9.918166381644477614e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.276704987856352169e-01
9.917160600995469366e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.284494302853527725e-01
9.916148702942448878e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.292282825519548151e-01
9.915130688109705659e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.300070551049113676e-01
9.914106557125296204e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.307857474637511286e-01
9.913076310621037335e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.315643591480607777e-01
9.912039949232515079e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.323428896774844765e-01
9.910997473599075791e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.331213385717233133e-01
9.909948884363833921e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.338997053505349422e-01
9.908894182173667575e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.346779895337333333e-01
9.907833367679222958e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.354561906411883565e-01
9.906766441534907708e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.362343081928257260e-01
9.905693404398898672e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.370123417086267781e-01
9.904614256933137462e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.377902907086283324e-01
9.903528999803330457e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.385681547129226088e-01
9.902437633678949913e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.393459332416573104e-01
9.901340159233232852e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.401236258150355130e-01
9.900236577143184391e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.409012319533157198e-01
9.899126888089569976e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.416787511768118624e-01
9.898011092756925366e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.424561830058935219e-01
9.896889191833545540e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.432335269609858741e-01
9.895761186011494681e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.440107825625699667e-01
9.894627075986597298e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.447879493311826637e-01
9.893486862458445996e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.455650267874169512e-01
9.892340546130391488e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.463420144519221033e-01
9.891188127709553690e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.471189118454037659e-01
9.890029607906811737e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.478957184886242060e-01
9.888864987436807308e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.486724339024024788e-01
9.887694267017947958e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.494490576076147603e-01
9.886517447372397127e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.502255891251943754e-01
9.885334529226086353e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.510020279761322137e-01
9.884145513308705278e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.517783736814768136e-01
9.882950400353701648e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.525546257623347224e-01
9.881749191098290197e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.533307837398705520e-01
9.880541886283439323e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.541068471353075620e-01
9.879328486653879970e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.548828154699275761e-01
9.878108992958102297e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.556586882650713988e-01
9.876883405948354566e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.564344650421391203e-01
9.875651726380644257e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.572101453225902556e-01
9.874413955014735844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.579857286279441331e-01
9.873170092614150795e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.587612144797800329e-01
9.871920139946169792e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.595366023997376592e-01
9.870664097781827184e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.603118919095172235e-01
9.869401966895915423e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.610870825308797494e-01
9.868133748066980626e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.618621737856475173e-01
9.866859442077328124e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.626371651957041753e-01
9.865579049713013582e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.634120562829950163e-01
9.864292571763848549e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.641868465695273949e-01
9.863000009023399350e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.649615355773709491e-01
9.861701362288983752e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.657361228286577670e-01
9.860396632361674296e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.665106078455828864e-01
9.859085820046293858e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.672849901504044334e-01
9.857768926151418976e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.680592692654439280e-01
9.856445951489376522e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.688334447130867000e-01
9.855116896876242594e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.696075160157818895e-01
9.853781763131848059e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.703814826960431128e-01
9.852440551079769682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.711553442764484623e-01
9.851093261547335667e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.719291002796408674e-01
9.849739895365621223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.727027502283285387e-01
9.848380453369451892e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.734762936452849957e-01
9.847014936397399110e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.742497300533495941e-01
9.845643345291784643e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.750230589754276922e-01
9.844265680898672821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.757962799344909843e-01
9.842881944067878308e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.765693924535776949e-01
9.841492135652958329e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.773423960557931056e-01
9.840096256511217110e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.781152902643095559e-01
9.838694307503704772e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.788880746023669699e-01
9.837286289495211777e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.796607485932730230e-01
9.835872203354275589e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.804333117604035308e-01
9.834452049953176234e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.812057636272025318e-01
9.833025830167936299e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.819781037171828708e-01
9.831593544878317603e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.827503315539263096e-01
9.830155194967827859e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.835224466610838601e-01
9.828710781323711787e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.842944485623760342e-01
9.827260304836958893e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.850663367815932603e-01
9.825803766402293471e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.858381108425960215e-01
9.824341166918183488e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.866097702693152727e-01
9.822872507286833921e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.873813145857526341e-01
9.821397788414185648e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.881527433159808360e-01
9.819917011209922109e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.889240559841438016e-01
9.818430176587459313e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.896952521144571191e-01
9.816937285463952501e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.904663312312082357e-01
9.815438338760292813e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.912372928587567633e-01
9.813933337401103962e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.920081365215348668e-01
9.812422282314746669e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.927788617440473751e-01
9.810905174433317555e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.935494680508722809e-01
9.809382014692642482e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.943199549666608239e-01
9.807852804032285432e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.950903220161379903e-01
9.806317543395538516e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.958605687241026516e-01
9.804776233729428636e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.966306946154278978e-01
9.803228875984711932e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.974006992150614537e-01
9.801675471115878224e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.981705820480257063e-01
9.800116020081144352e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.989403426394182883e-01
9.798550523842458615e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.997099805144121609e-01
9.796978983365496330e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.004794951982560025e-01
9.795401399619665384e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.012488862162745140e-01
9.793817773578096242e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020181530938686132e-01
9.792228106217650829e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.027872953565158509e-01
9.790632398518914759e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.035563125297706333e-01
9.789030651466200661e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.043252041392645546e-01
9.787422866047547076e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.050939697107066195e-01
9.785809043254716233e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.058626087698835483e-01
9.784189184083196267e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.066311208426602208e-01
9.782563289532196782e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.073995054549796768e-01
9.780931360604651070e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.081677621328637817e-01
9.779293398307215002e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.089358904024131713e-01
9.777649403650267024e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.097038897898077237e-01
9.775999377647904831e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.104717598213068364e-01
9.774343321317946476e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.112395000232497044e-01
9.772681235681932588e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.120071099220555977e-01
9.771013121765119713e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.127745890442241383e-01
9.769338980596484756e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.135419369163356618e-01
9.767658813208722757e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.143091530650514387e-01
9.765972620638244672e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.150762370171140081e-01
9.764280403925178486e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.158431882993474271e-01
9.762582164113369210e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.166100064386576318e-01
9.760877902250375548e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.173766909620326593e-01
9.759167619387473236e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.181432413965429529e-01
